Tous les articles (sauf vulgarisation)
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Lieu de publication;Editeur revue;Pages;Titre conférence;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;NNT;URL;DOI;Pubmed;Référence locale;ArXiv;Description;Voir aussi;Fait référence à;Réf. HAL;ANR associated funding;EU associated funding;Rang HCERES (Economie-Gestion);Rang HCERES (Toutes disciplines);Rang CNRS;Commentaire;Référence interne
Thibaud J.-P.;0000;;A brief archaeology of the notion of ambiance;Unlikely. Journal for Creative Arts;;;;;;;;;;;;;;;;;;;;;;;;;;http://unlikely.net.au/about;;;;;;;;hal-02568186;;;;;;;
Touya G.;0000;;Multi-Criteria Geographic Analysis for Automated Cartographic Generalization;Cartographic Journal;;;;;;;;;;;;;;;;;;;;;;;;;;;10.1080/00087041.2020.1858608;;;;;;;hal-03321351;;;;;;;
Bataille N.;2021;;Le « chef d’orchestre » au risque de « l’homme-orchestre » : les chefs de projet dans l’individualisation paradoxale du travail collectif;Sociologies pratiques;;2;42;;;;;;21-31;;;;;;;;;;;;;;;;;https://www.cairn.info/revue-sociologies-pratiques-2021-2-page-21.htm;10.3917/sopr.042.0021;;;;;;;halshs-03231390;;;;;;;
Hu M., Shealy T., Milovanovic J.;2021;;Cognitive differences among first-year and senior engineering students when generating design solutions with and without additional dimensions of sustainability;Design Science;;7;;;;;;;;;;;;;;;;;;;;;;;;https://www.cambridge.org/core/journals/design-science/article/cognitive-differences-among-firstyear-and-senior-engineering-students-when-generating-design-solutions-with-and-without-additional-dimensions-of-sustainability/55B6D539BAA9C4DBFAE4BCAF88F00BBC;10.1017/dsj.2021.3;;;;;;;hal-03296909;;;;;;;
Sorrel V., Tixier N.;2021;;La visite à Grenoble. Quand l’usine Aaton fabrique des images et des sons;Cahier Louis-Lumière;;;14;;;;;;91-115;;;;;;;;;;;;;;;;;https://www.ens-louis-lumiere.fr/cahier;;;;;;;;hal-03340366;;;;;;;
Balaÿ O.;2020;;Réhabiliter les façades légères dans l’habitat du XXe siècle : l’exemple d’une façade de Jean Prouvé à Lyon;MONUMENTAL, revue scientifique et technique des monuments historiques;;;1;;;;;;90-93;;;;;;;;;;;;;;;;;https://www.culture.gouv.fr/Sites-thematiques/Monuments-Sites/Actualites-Articles/Monumental-2020-1-La-fenetre-dans-l-architecture-connaissance-conservation-et-restauration;;;;;;;;hal-03283225;;;;;;;
Bonicco-Donato C.;2020;;De la déconstruction philosophique au déconstructivisme architectural et vice-versa;Archives de Philosophie;;83;2;;;;;;125-144;;;;;;;;;;;;;;;;;https://www.archivesdephilo.com/;;;;;;;;hal-02551762;;;;;;;
Breviglieri M.;2020;;Fertilités. Sur les chemins de collecte des femmes oasiennes (univers végétal, résonateurs cosmiques, soins collectifs);Anthropologie et sociétés;;44;1;;;;;;https://www.anthropologie-societes.ant.ulaval.ca/fertilites-sur-les-chemins-de-collecte-des-femmes-oasiennes-univers-vegetal-resonateurs-cosmiques;;;;;;;;;;;;;;;;;https://www.anthropologie-societes.ant.ulaval.ca/numero/6603;;;;;;;;hal-03156481;;;;;;;
Breviglieri M.;2020;;Le portrait gênant. Amina Sboui sous le poids des regards;SociologieS;;;;;;;;;https://journals.openedition.org/sociologies/13077;;;;;;;;;;;;;;;;;https://journals.openedition.org/sociologies/;10.4000/sociologies.13079;;;;;;;hal-03156500;;;;;;;
Chesnel K., Devisme L.;2020;;La ville en mode « démonstrateur urbain » : learning from Nantes City Lab;Revue Internationale d’Urbanisme;;;9;;;;;;;;;;;;;;;;;;;;;;;http://www.riurba.review/Revue/la-ville-en-mode-demonstrateur-92/;;;;;;;;hal-03178858;;;;;;;
Chérel E.;2020;;Filmer les collections, déjouer les régimes de visibilité;Trouble dans les collections;;;1;;;;;;;;;;;;;;;;;;;;;;;https://troublesdanslescollections.fr/2020/10/08/article-8-revue-1/;;;;;;;;hal-03142025;;;;;;;
