Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Outahar, M., Moreau, G., Normand, J.-M.","57234602600;18434661200;7103130521;","Article direct and indirect vslam fusion for augmented reality",2021,"Journal of Imaging","7","8","141","","",,,"10.3390/jimaging7080141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113659295&doi=10.3390%2fjimaging7080141&partnerID=40&md5=51d8f0298df89215ea6634d78bdfb190",Article,"Final","",Scopus,2-s2.0-85113659295
"Todoroff, E.C., Shealy, T., Milovanovic, J., Godwin, A., Paige, F.","57220190222;56288659700;57204211318;55858805500;57202021599;","Comparing Design Thinking Traits between National Samples of Civil Engineering and Architecture Students",2021,"Journal of Civil Engineering Education","147","2","04020018","","",,,"10.1061/(ASCE)EI.2643-9115.0000037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097128139&doi=10.1061%2f%28ASCE%29EI.2643-9115.0000037&partnerID=40&md5=3bf2a2a8bc74b60b7c9678bac4acc489",Article,"Final","",Scopus,2-s2.0-85097128139
"Ehtemami, A., Park, S.B., Bernadin, S., Lescop, L., Chin, A.","57190286944;55461942000;14832416700;55694256200;57155865500;","Overview of visualizing historical architectural knowledge through virtual reality",2021,"Conference Proceedings - IEEE SOUTHEASTCON","2021-March",,"9401850","","",,,"10.1109/SoutheastCon45413.2021.9401850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104932652&doi=10.1109%2fSoutheastCon45413.2021.9401850&partnerID=40&md5=dcba0307dc6afd624d0eca5946939f10",Conference Paper,"Final","",Scopus,2-s2.0-85104932652
"Tsoka, S., Leduc, T., Rodler, A.","57188722125;35145895200;55906601400;","Assessing the effects of urban street trees on building cooling energy needs: The role of foliage density and planting pattern",2021,"Sustainable Cities and Society","65",,"102633","","",,9,"10.1016/j.scs.2020.102633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097714999&doi=10.1016%2fj.scs.2020.102633&partnerID=40&md5=cf0f1a62786e631cd44a9fbaaea9c3f7",Article,"Final","",Scopus,2-s2.0-85097714999
"Petit, A., Siret, D., Simonnot, N.","57226739291;55919923700;24512664100;","Capturing Chromatic Effects in Urban Environment",2021,"Springer Tracts in Civil Engineering",,,,"207","222",,,"10.1007/978-3-030-76694-8_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112534919&doi=10.1007%2f978-3-030-76694-8_12&partnerID=40&md5=17324f33c2a6aa94b0e939b216beb797",Book Chapter,"Final","",Scopus,2-s2.0-85112534919
"Belkaïd, A., Ben Saci, A., Hassoumi, I.","55909887200;57226482286;55321352200;","Smart system to generate the optimal authorized bounding volume",2021,"Open House International",,,,"","",,,"10.1108/OHI-02-2021-0039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111656327&doi=10.1108%2fOHI-02-2021-0039&partnerID=40&md5=07023c65c8cfeb326f4a692976a4faa2",Article,"Article in Press","",Scopus,2-s2.0-85111656327
"Servières, M., Renaudin, V., Dupuis, A., Antigny, N.","8556225400;25634925800;57222316251;57192309942;","Visual and Visual-Inertial SLAM: State of the Art, Classification, and Experimental Benchmarking",2021,"Journal of Sensors","2021",,"2054828","","",,1,"10.1155/2021/2054828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102310033&doi=10.1155%2f2021%2f2054828&partnerID=40&md5=06948d86618beea6bff221a944aa175d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102310033
"Hu, M., Shealy, T., Milovanovic, J.","57195960304;56288659700;57204211318;","Cognitive differences among first-year and senior engineering students when generating design solutions with and without additional dimensions of sustainability",2021,"Design Science",,,"e1","","",,,"10.1017/dsj.2021.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100748424&doi=10.1017%2fdsj.2021.3&partnerID=40&md5=0fd775c78dea8f7238262fa7989b564b",Article,"Article in Press","All Open Access, Gold, Green",Scopus,2-s2.0-85100748424
"Gero, J., Milovanovic, J.","7006434401;57204211318;","The situated function-behavior-structure co-design model",2021,"CoDesign","17","2",,"211","236",,1,"10.1080/15710882.2019.1654524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071289604&doi=10.1080%2f15710882.2019.1654524&partnerID=40&md5=dcc3be1e0f1bb77f40cfb492b3a5f7fd",Article,"Final","",Scopus,2-s2.0-85071289604
"Boudhraa, S., Dorta, T., Milovanovic, J., Pierini, D.","57191609979;16645632400;57204211318;57185324100;","Co-ideation critique unfolded: an exploratory study of a co-design studio ‘crit’ based on the students’ experience",2021,"CoDesign","17","2",,"119","138",,2,"10.1080/15710882.2019.1572765","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068832538&doi=10.1080%2f15710882.2019.1572765&partnerID=40&md5=bd0fe8066f480ee8b38fb5e69a04f78b",Article,"Final","",Scopus,2-s2.0-85068832538
"Dardier, G., Jabot, F., L'Her, G., Servières, M.","57215269666;16642934000;57204307536;8556225400;","A research project on an air quality citizen sensing initiative: CapCi project in Rennes [Recherche sur une initiative de métrologie citoyenne de la qualité de l'air : Le projet CapCi à Rennes]",2020,"Environnement, Risques et Sante","19","6",,"417","422",,,"10.1684/ERS.2020.1483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109097565&doi=10.1684%2fERS.2020.1483&partnerID=40&md5=b0092e3d5e9a12d33f1643eba8f7e937",Article,"Final","",Scopus,2-s2.0-85109097565
"Mercado, V., Normand, J.-M., Lecuyer, A.","57210919716;7103130521;6601917415;","Kapow!"": Augmenting Contacts with Real and Virtual Objects Using Stylized Visual Effects",2020,"Adjunct Proceedings of the 2020 IEEE International Symposium on Mixed and Augmented Reality, ISMAR-Adjunct 2020",,,"9287824","116","117",,,"10.1109/ISMAR-Adjunct51615.2020.00043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099558388&doi=10.1109%2fISMAR-Adjunct51615.2020.00043&partnerID=40&md5=1799d0ea27c099a25a78ffccd05d9c68",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85099558388
