openAccess_bool,domain_s,title_s,journalTitle_s,journalPublisher_s,journalEissn_s,authFullName_s,halId_s,submitType_s,docType_s,selfArchiving_bool,doiId_s,submittedDate_s,publicationDate_s,publicationDateY_i,journalIssn_s,licence_s
True,"['0.shs', '1.shs.anthro-se']","['Quand l’hommage aux migrants africains se superpose à la commémoration des esclaves noirs. Ethnographie du Mémorial de l’abolition de l’esclavage de Nantes', 'Ethnography of the Nantes Memorial to the abolition of slavery: when the homage to African migrants and the memory of black slaves overlap']",L'Espace Politique,OpenEdition Journals,1958-5500,['Rossila Goussanou'],hal-03238799,notice,ART,True,10.4000/espacepolitique.8570,2021-05-27 11:30:34,2021-02-23,2021,,
True,['0.info'],['Génération automatique de courbes de niveaux dans les zones de plateaux karstiques'],Cartes & géomatique,Comité français de cartographie,,"['Guillaume Touya', 'Hugo Boulze', 'Anouk Schleich', 'Hervé Quinquenel']",hal-03254114,file,ART,True,,2021-06-08 15:55:05,2021-06,2021,2119-9825,
False,"['0.shs', '1.shs.archi', '0.spi', '1.spi.gciv']",['Comparing Design Thinking Traits between National Samples of Civil Engineering and Architecture Students'],Journal of Civil Engineering Education,,,"['Emma Coleman Todoroff', 'Tripp Shealy', 'Julie Milovanovic', 'Allison Godwin', 'Frederick Paige']",hal-03039834,notice,ART,True,10.1061/(ASCE)EI.2643-9115.0000037,2020-12-04 09:24:55,2021-04,2021,2643-9107,
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.art']",['Symphonies urbaines à rebours'],La Furia Umana,Duen de Bux,,"['Andréa Franco', 'Benjamin Léon', 'Nicolas Tixier']",hal-03169668,file,ART,False,,2021-03-15 15:09:00,2021-03,2021,2255-2812,
True,"['0.info', '1.info.info-gr']",['Direct and Indirect vSLAM Fusion for Augmented Reality'],Journal of Imaging,MDPI,,"['Mohamed Outahar', 'Guillaume Moreau', 'Jean-Marie Normand']",hal-03319808,notice,ART,True,10.3390/jimaging7080141,2021-08-13 09:45:26,2021-08,2021,2313-433X,
True,['0.shs'],"['Le port de Bosa\xa0: l’unité italienne au reflet d’un projet en échec', 'The Port of Bosa: Italian Unity as a reflection of a failed project']","Les Cahiers de la recherche architecturale, urbaine et paysagère",Ministère de la Culture,2606-7498,['Nathan Brenu'],hal-03402423,notice,ART,True,10.4000/craup.8625,2021-10-25 16:15:36,2021-10-13,2021,2606-7498,
False,"['0.shs', '1.shs.archi']",['Du contournement des procédures officielles d’adjudication de travaux publics dans l’Italie post-unitaire'],Droit et ville,Institut des études juridiques de l'urbanisme et de la construction,,['Nathan Brenu'],hal-03207534,notice,ART,True,10.3917/dv.090.0155,2021-04-25 16:34:59,2021-02-23,2021,0396-4841,
True,"['0.shs', '1.shs.archi', '0.info', '1.info.info-ai', '0.info', '1.info.info-hc', '0.info', '1.info.info-ma']",['Urban Morphological Rules Classification for Digital Design'],Journal of Civil Engineering and Architecture,David Publishing Company,1934-7367,"['Alia Belkaid', 'Abdelkader Ben Saci']",hal-03247987,file,ART,True,10.17265/1934-7359/2021.04.001,2021-06-03 14:54:19,2021-04,2021,1934-7359,http://creativecommons.org/licenses/by-nc/
True,"['0.shs', '1.shs.anthro-se', '0.shs', '1.shs.art']","['Récit photo-ethnographique des lieux mémoriels de l’esclavage à Ouidah (Bénin)', 'Photo-ethnographic narrative of the memorial sites of slavery in Ouidah (Benin). Photography in the investigation of humanities and social sciences', 'Relato fotoetnográfico de los sitios de memoria de la esclavitud en Ouidah (Benín). La fotografía en la investigación en ciencias humanas y sociales']",Esclavages & Post~esclavages / Slaveries & Post~Slaveries,CIRESC,,['Rossila Goussanou'],hal-03238996,notice,ART,True,10.4000/slaveries.4305,2021-05-27 12:34:21,2021-05-10,2021,,
True,"['0.sde', '1.sde.ie', '0.scco', '0.scco', '1.scco.neur']",['Cognitive differences among first-year and senior engineering students when generating design solutions with and without additional dimensions of sustainability'],Design Science,Cambridge University Press,2053-4701,"['Mo Hu', 'Tripp Shealy', 'Julie Milovanovic']",hal-03296909,notice,ART,True,10.1017/dsj.2021.3,2021-07-22 22:42:49,2021,2021,2053-4701,
