doi,halId,is_paratext,suspicious_journal,hal_domain,df_data_traite,title,author_count,published_date,published_year,journal_name,journal_issns,publisher,hal_coverage,hal_submittedDate,hal_location,hal_openAccess_bool,hal_licence,hal_selfArchiving,hal_docType,hal_shsdomain,hal_infodomain,genre,upw_coverage,oa_status,journal_issn_l,upw_location,version,licence
10.1002/9781119341031.ch3,hal-01944915,,,['0.info'],True,Complexity and Scientific Challenges,13.0,2018-03-25,2018.0,Virtual Reality and Augmented Reality,False,"John Wiley & Sons, Inc.",in,2018-12-05 04:27:20,notice,False,,True,COUV,[],['1.info.info-hc'],book-chapter,closed,closed,,,,
10.1002/9781119341031.ch4,hal-01735022,,,['0.info'],True,Towards VE that are More Closely Related to the Real World,6.0,2018-03-25,2018.0,Virtual Reality and Augmented Reality,False,"John Wiley & Sons, Inc.",in,2018-03-15 13:14:40,notice,False,,True,COUV,[],"['1.info.info-hc', '1.info.info-gr']",book-chapter,closed,closed,,,,
10.1002/9781119341031.ch5,hal-01946504,,,['0.info'],True,Scientific and Technical Prospects,7.0,2018-03-25,2018.0,Virtual Reality and Augmented Reality,False,"John Wiley & Sons, Inc.",in,2018-12-06 10:16:12,notice,False,,True,COUV,[],"['1.info.info-bt', '1.info.info-hc', '1.info.info-lg', '1.info.info-gr']",book-chapter,closed,closed,,,,
10.1002/jsid.752,hal-01987255,,,['0.info'],True,A study on differences in human perception between a real and an AR scene viewed in an OST-HMD,6.0,2019-01-20,2019.0,Journal of the Society for Information Display,1071-0922,Wiley,in,2019-01-21 08:27:47,file,True,,True,ART,[],['1.info.info-gr'],journal-article,oa,green,1071-0922,repository,publishedVersion,
10.1002/jsid.832,hal-02200576,,,['0.info'],True,Influence of virtual objects' shadows and lighting coherence on distance perception in optical see‐through augmented reality,6.0,2019-07-30,2019.0,Journal of the Society for Information Display,"1071-0922,1938-3657",Wiley,in,2019-12-16 15:48:35,file,True,,True,ART,[],['1.info.info-gr'],journal-article,oa,green,1071-0922,repository,submittedVersion,
10.1002/navi.254,hal-01896361,,,['0.spi'],True,"Fusion of 3D GIS, Vision, Inertial and Magnetic Data for Improved Urban Pedestrian Navigation and Augmented Reality Applications",3.0,2018-09-01,2018.0,Navigation,0028-1522,Wiley,in,2018-10-16 09:53:21,notice,False,,False,ART,[],[],journal-article,closed,closed,0028-1522,,,
10.1007/1-84628-048-6_7,hal-01555279,,,"['0.math', '0.spi']",True,Acoustic diffraction patterns from fractal to urban structures: applications to the Sierpinski triangle and to a neoclassical urban facade,1.0,2005,2005.0,Fractals in Engineering,False,Springer-Verlag,in,2017-07-03 22:07:35,file,True,,True,COUV,[],[],book-chapter,oa,green,,repository,submittedVersion,
10.1007/978-3-030-01790-3_12,hal-01947356,,,['0.info'],True,Evaluation of AR Inconsistencies on AR Placement Tasks: A VR Simulation Study,4.0,2018-01-01,2018.0,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer International Publishing,in,2018-12-06 16:45:13,file,True,,True,COMM,[],"['1.info.info-gr', '1.info.info-hc']",book-chapter,oa,green,0302-9743,repository,submittedVersion,
10.1007/978-3-030-76694-8,halshs-03329497,,,['0.shs'],True,Experiential Walks for Urban Design,3.0,2021-01-01,2021.0,Springer Tracts in Civil Engineering,"2366-259X,2366-2603",Springer International Publishing,in,2021-08-31 09:09:49,notice,False,,True,DOUV,['1.shs.archi'],[],book,closed,closed,2366-2603,,,
10.1007/978-3-030-76694-8_12,halshs-03329818,,,['0.shs'],True,Capturing Chromatic Effects in Urban Environment,3.0,2021-01-01,2021.0,Springer Tracts in Civil Engineering,"2366-259X,2366-2603",Springer International Publishing,in,2021-08-31 12:02:20,notice,False,,True,COUV,['1.shs.archi'],[],book-chapter,closed,closed,2366-2603,,,
10.1007/978-3-319-51804-6,halshs-01541102,,,['0.shs'],True,Urban Design and Representation,3.0,2017-01-01,2017.0,,False,Springer International Publishing,in,2017-06-17 15:35:44,notice,True,,True,COUV,['1.shs.archi'],[],book,oa,green,,repository,submittedVersion,
10.1007/978-3-319-51804-6_6,hal-01491469,,,"['0.info', '0.shs', '0.sde']",True,Motion Perspectives Integration in the Qualification of the Urban Spaces: Towards a 2D- and a 3D-Enrichment of the S-Partition Method,3.0,2017-01-01,2017.0,Urban Design and Representation,False,Springer International Publishing,in,2017-03-16 21:39:41,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,,repository,submittedVersion,
10.1007/978-3-642-10595-1_5,halshs-01092994,,,['0.shs'],True,TAnaTo2: A Tool to Evaluate the Impact of Natural and Anthropogenic Artefacts with a TIN-Based Model,2.0,2011-10-27,2011.0,Geospatial Free and Open Source Software in the 21st Century,"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2014-12-09 21:38:08,notice,False,,True,COUV,['1.shs.geo'],[],book-chapter,closed,closed,1863-2246,,,
10.1007/978-3-642-12326-9_13,hal-01347345,,,"['0.info', '0.shs', '0.sde']",True,Towards a Spatial Semantics to Analyze the Visual Dynamics of the Pedestrian Mobility in the Urban Fabric,4.0,2010-01-01,2010.0,Geospatial Thinking,"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2016-07-20 18:48:47,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,1863-2246,repository,submittedVersion,
10.1007/978-3-642-19766-6_11,hal-01347331,,,"['0.info', '0.shs', '0.sde']",True,Measuring Surrounding Space to Assess the Pedestrian Visual Aperture Angle in the Urban Fabric: Toward a Kurtosis-Based Isovist Indicator,4,2011-01-01,2011,Information Fusion and Geographic Information Systems,"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2016-07-20 18:15:16,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,1863-2246,repository,submittedVersion,
10.1007/978-3-642-19789-5_14,hal-01347341,,,"['0.info', '0.shs', '0.sde']",True,Towards a “typification” of the Pedestrian Surrounding Space: Analysis of the Isovist Using Digital processing Method,3,2011-01-01,2011,Advancing Geoinformation Science for a Changing World,"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2016-07-25 14:17:19,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,1863-2246,repository,submittedVersion,
10.1007/978-3-642-24574-9_35,hal-01521481,,,['0.info'],True,Transforming Conceptual Spatiotemporal Model into Object Model with Semantic Keeping,3,2011-01-01,2011,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer Berlin Heidelberg,in,2017-05-11 18:08:25,notice,False,,True,COMM,[],['1.info.info-mo'],book-chapter,closed,closed,0302-9743,,,
10.1007/978-3-642-29063-3_18,hal-01347299,,,"['0.info', '0.shs', '0.sde']",True,Towards Urban Fabrics Characterization Based on Buildings Footprints,3,2012-01-01,2012,Bridging the Geographic Information Sciences,"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2016-07-20 17:13:14,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,1863-2246,repository,submittedVersion,
10.1007/978-3-642-31833-7_16,hal-01347216,,,"['0.info', '0.shs', '0.sde']",True,A New Method to Characterize Density Adapted to a Coarse City Model,3,2013-12-05,2013,Information Fusion and Geographic Information Systems (IF AND GIS 2013),"1863-2246,1863-2351",Springer Berlin Heidelberg,in,2016-07-20 15:55:10,file,True,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,oa,green,1863-2246,repository,submittedVersion,
10.1007/978-3-642-39330-3_57,hal-00850386,,,['0.info'],True,Design of a Visual Query Language for Geographic Information System on a Touch Screen,4,2013-01-01,2013,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer Berlin Heidelberg,in,2014-01-06 12:12:58,file,True,,False,COMM,[],['1.info.info-hc'],book-chapter,oa,green,0302-9743,repository,submittedVersion,
10.1007/978-3-658-11492-3_11,hal-02558010,,,['0.shs'],True,Die Bedeutung von Alltagsästhetik im Kontext der Polarisierung und Hybridisierung von Städten,1,2015-11-25,2015,Fraktale Metropolen,"2509-3789,2509-3797",Springer Fachmedien Wiesbaden,in,2020-04-29 10:46:48,notice,False,,True,COUV,"['1.shs.archi', '1.shs.geo']",[],book-chapter,closed,closed,2509-3797,,,
10.1007/978-3-658-24161-2_5,hal-02557991,,,['0.shs'],True,Für ein alltagsästhetisches Verständnis von Heimat,1,2019-01-01,2019,Heimat,"2625-6991,2625-7009",Springer Fachmedien Wiesbaden,in,2020-04-29 10:39:08,notice,False,,True,COUV,"['1.shs.archi', '1.shs.geo']",[],book-chapter,closed,closed,2625-7009,,,
10.1007/978-3-658-25746-0_35,hal-02557946,,,['0.shs'],True,Atmosphären und Landschaft,1,2019-01-01,2019,Handbuch Landschaft,"2625-6991,2625-7009",Springer Fachmedien Wiesbaden,in,2020-04-29 10:13:05,notice,False,,True,COUV,['1.shs.geo'],[],book-chapter,closed,closed,2625-7009,,,
10.1007/978-3-7091-1251-9_6,hal-01501962,,,"['0.info', '0.shs']",True,"Concurrent Geometric, Structural and Environmental Design: Louvre Abu Dhabi",6,2013-01-01,2013,Advances in Architectural Geometry 2012,False,Springer Vienna,in,2017-04-04 18:16:27,notice,False,,True,COUV,['1.shs.archi'],['1.info.info-mo'],book-chapter,closed,closed,,,,
10.1007/978-94-007-2540-9_2,hal-01347313,,,['0.sde'],True,Environmental impact assessment of urban mobility plan: a methodology including socio-economic consequences,28,2011-12-10,2011,Alliance for Global Sustainability Bookseries,1571-4780,Springer Netherlands,in,2016-07-20 17:38:40,notice,True,,True,COUV,[],[],book-chapter,oa,green,1571-4780,repository,submittedVersion,
10.1007/978-94-017-9136-6_7,hal-01521560,,,['0.info'],True,Challenges of Image-Based Crowd-Sourcing for Situation Awareness in Disaster Management,4,2014-01-01,2014,NATO Science for Peace and Security Series C: Environmental Security,"1874-6519,1874-6543",Springer Netherlands,in,2017-05-11 21:49:24,notice,False,,True,COUV,[],[],book-chapter,closed,closed,1874-6519,,,
10.1007/s10055-010-0173-7,hal-01521143,,,['0.info'],True,Camera tracking by online learning of keypoint arrangements using LLAH in augmented reality applications,4,2010-10-07,2010,Virtual Reality,"1359-4338,1434-9957",Springer Science and Business Media LLC,in,2017-05-11 15:58:27,file,True,,True,ART,[],['1.info.info-cv'],journal-article,oa,green,1359-4338,repository,submittedVersion,
10.1007/s10546-004-9241-4,hal-00111637,,,['0.phys'],True,The urban boundary-layer field campaign in marseille (ubl/clu-escompte): set-up and first results,35,2005-02-01,2005,Boundary-Layer Meteorology,"0006-8314,1573-1472",Springer Science and Business Media LLC,in,2021-05-21 21:59:30,file,True,http://creativecommons.org/licenses/by/,False,ART,[],[],journal-article,oa,green,0006-8314,repository,submittedVersion,cc-by
10.1007/s11069-014-1538-0,hal-01121491,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apacoust.2003.11.002,hal-01555290,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apacoust.2004.09.004,hal-01555283,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.biosystemseng.2014.08.017,hal-01526013,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.buildenv.2009.11.011,hal-01145095,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.buildenv.2011.02.001,hal-01145124,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.buildenv.2013.12.012,hal-01870606,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.buildenv.2017.08.009,hal-01630175,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.chb.2020.106374,hal-02551772,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.daach.2015.02.002,hal-01617172,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.egypro.2015.11.088,hal-01799920,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.egypro.2017.07.126,hal-01581748,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.enbuild.2004.01.010,halshs-00573759,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.enbuild.2011.02.010,hal-01870609,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.enbuild.2012.08.048,hal-00947577,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.enbuild.2015.06.030,hal-01583195,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.enbuild.2015.06.032,hal-01799917,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.foar.2016.02.001,halshs-01330999,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.geoforum.2013.04.028,hal-00978316,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jretconser.2019.01.010,hal-01995916,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scs.2020.102633,hal-03046054,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.uclim.2015.04.001,hal-01141712,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.uclim.2015.07.004,hal-01667973,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.uclim.2017.08.010,hal-01629430,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.uclim.2018.04.005,hal-01790917,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.uclim.2019.100457,hal-02086327,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/jsolener.2015.08.031,hal-01251355,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/s0169-7552(98)00176-7,hal-00816837,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1016/s0926-5805(99)00046-1,hal-02562734,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/dsd.2020.118,hal-02872397,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/dsj.2020.15,hal-02898072,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/dsj.2020.30,hal-03039827,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/dsj.2021.3,hal-03296909,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/pds.2021.557,hal-03319718,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/pds.2021.87,hal-03319720,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/ppr.2015.3,hal-01880375,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/s0012217300002158,hal-01525429,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1017/s0959774317000853,hal-01933083,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1038/bmt.2016.151,hal-01331582,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201202006,hal-01501831,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201202007,hal-01521445,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201202008,hal-01501907,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201202009,hal-00738193,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201203002,hal-02476304,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/3u3d/201203007,hal-00768494,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20184700001,hal-01903325,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20184701003,hal-01916574,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20184701011,hal-01903328,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20184701012,hal-01944413,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20184701015,hal-01906627,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20196400002,hal-02288693,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20196401006,hal-02280170,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20196402003,hal-02288694,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20196403005,hal-02273348,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1051/shsconf/20208204004,hal-03112663,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1061/(asce)ei.2643-9115.0000037,hal-03039834,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1063/1.3106467,hal-01521498,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1068/b32143,hal-00285927,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/00087041.2020.1858608,hal-03321351,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/13658816.2020.1800017,hal-02916059,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/15230406.2021.1977709,hal-03374868,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/15710882.2019.1572765,hal-02083897,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/15710882.2019.1654524,hal-02273787,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/17512549.2015.1043643,hal-01799921,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1080/23729333.2021.1972787,hal-03411778,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1088/1742-6596/1343/1/012007,hal-02372284,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1088/1742-6596/2042/1/012128,hal-03445642,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1093/ijlct/ctt049,hal-01145181,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1108/ohi-02-2021-0039,hal-03451894,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1108/s1871-317320190000016014,hal-02557981,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icalt.2013.169,hal-01977283,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icalt.2014.159,hal-01973160,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icip.2013.6738215,hal-01133153,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icip.2013.6738749,hal-01296969,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icip.2014.7025350,hal-01133244,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/icsdm.2011.5969024,hal-01521483,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/ipin.2016.7743619,hal-01451468,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/isie.2010.5637503,hal-01521496,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/ismar-adjunct.2017.86,hal-01616825,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/ismar50242.2020.00024,hal-02924372,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/ismar50242.2020.00028,hal-02911740,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/ismar52148.2021.00064,hal-03378222,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/mva.2015.7153164,hal-01812793,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tie.2011.2171173,hal-01015096,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/tvcg.2015.2459897,hal-01276767,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vr.2015.7223418,hal-01140514,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vr.2017.7892231,hal-01619314,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vr.2019.8797826,hal-02084069,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vr.2019.8797848,hal-02284129,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vsmm.2017.8346302,hal-02068700,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1109/vsmm.2017.8346303,hal-02068712,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1111/j.1755-0998.2010.02916.x,hal-01094222,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1111/ojoa.12133,hal-01869312,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1115/detc2020-22563,hal-03296907,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1115/esda2012-82608,hal-01521470,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1115/esda2012-82824,hal-00817295,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1117/12.525687,hal-00785283,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1121/1.4777350,hal-01541215,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1142/9789812702746_0018,hal-01552973,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/1029632.1029677,inria-00550595,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/1148613.1148626,inria-00550691,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/1921264.1921283,hal-01092649,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2160125.2160143,hal-01521375,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2207216.2207220,hal-00783076,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2492494.2501896,hal-01880383,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2671015.2671022,hal-01812790,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2820619.2825019,hal-01219114,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/2821592.2821606,hal-01222203,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1145/3423603.3424057,hal-03258021,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1177/2399808318816994,hal-01945663,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1212/wnl.0000000000000315,hal-01251658,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1260/1478-0771.8.4.507,hal-01502786,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.13130/2240-9599/3477,hal-00980754,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.13140/2.1.4715.2161,hal-01555296,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.15122/isbn.978-2-406-09288-9,hal-02281133,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.15122/isbn.978-2-406-10419-3.p.0243,hal-02586062,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1515/9783035615159-134,halshs-01962310,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1684/ers.2015.0797,hal-01347164,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.1684/ers.2020.1483,hal-03094976,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.17265/1934-7359/2018.10.001,hal-03249060,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.17265/1934-7359/2021.04.001,hal-03247987,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.17660/actahortic.2017.1170.6,hal-02505438,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.21278/idc.2018.0547,hal-01815341,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.22501/ruu.371052,halshs-02185436,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.2312/udmv.20161413,hal-01521335,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.23919/mva.2017.7986915,hal-01526972,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.25518/0774-7136.789,hal-01878768,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.26151/esapcestemps.net-1c2y-xb79,halshs-03098741,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.26151/espacestemps.net-87y1-es59,halshs-02298341,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3166/isi.14.5.107-131,hal-01521145,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3166/rig.24.101-130,hal-01345703,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3166/rig.25.415-436,hal-01259330,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3166/rig.25.75-98,hal-01150201,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3167/arcs.2021.070101,hal-03329534,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3233/idt-2011-0113,hal-01521142,,,,False,,,,,,,,,,,,,,,,,,,,,,,
10.3389/frobt.2014.00009,hal-01812797,,,,False,,,,,,,,,,,,,,,,,,,,,,,
