doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
10.1002/9781118562062.ch7,,missing,closed,Evapotranspiration,,,,,,,,2013-03-20,2013.0,Solar Energy at Urban Scale,,"John Wiley & Sons, Inc.",book-chapter,,closed,,,,,,,1.0,
10.1002/jsid.752,hal-01987255,in,oa,A study on differences in human perception between a real and an AR scene viewed in an OST-HMD,ART,file,True,2019-01-21 08:27:47,,True,0.info,2019-01-20,2019.0,Journal of the Society for Information Display,1071-0922,Wiley,journal-article,1071-0922,green,repository,publishedVersion,,,,,6.0,
10.1002/jsid.832,hal-02200576,in,oa,Influence of virtual objects' shadows and lighting coherence on distance perception in optical see‐through augmented reality,ART,file,True,2019-12-16 15:48:35,,True,0.info,2019-07-30,2019.0,Journal of the Society for Information Display,"1071-0922,1938-3657",Wiley,journal-article,1071-0922,green,repository,submittedVersion,,,,,6.0,
10.1002/navi.254,hal-01896361,in,closed,"Fusion of 3D GIS, Vision, Inertial and Magnetic Data for Improved Urban Pedestrian Navigation and Augmented Reality Applications",ART,notice,False,2018-10-16 09:53:21,,False,0.spi,2018-09-01,2018.0,Navigation,0028-1522,Wiley,journal-article,0028-1522,closed,,,,,,,3.0,
10.1007/1-84628-048-6_7,,missing,oa,Acoustic diffraction patterns from fractal to urban structures: applications to the Sierpinski triangle and to a neoclassical urban facade,,,,,,,,,,Fractals in Engineering,,Springer-Verlag,book-chapter,,green,repository,submittedVersion,,,,,1.0,
10.1007/3-540-46080-2_30,,missing,oa,Semi-metric Formal 3D Reconstruction from Perspective Sketches,,,,,,,,2002-01-01,2002.0,Computational Science — ICCS 2002,0302-9743,Springer Berlin Heidelberg,book-chapter,0302-9743,bronze,publisher,publishedVersion,,,,,3.0,
10.1007/978-3-030-01790-3_12,,missing,oa,Evaluation of AR Inconsistencies on AR Placement Tasks: A VR Simulation Study,,,,,,,,2018-01-01,2018.0,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer International Publishing,book-chapter,0302-9743,green,repository,submittedVersion,,,,,4.0,
10.1007/978-3-030-76694-8_12,,missing,closed,Capturing Chromatic Effects in Urban Environment,,,,,,,,2021-01-01,2021.0,Springer Tracts in Civil Engineering,"2366-259X,2366-2603",Springer International Publishing,book-chapter,2366-2603,closed,,,,,,,3.0,
10.1007/978-3-319-51804-6,,missing,oa,Urban Design and Representation,,,,,,,,2017-01-01,2017.0,,,Springer International Publishing,book,,green,repository,submittedVersion,,,,,,
10.1007/978-3-319-51804-6_12,,missing,closed,Listen Through the Map,,,,,,,,2017-01-01,2017.0,Urban Design and Representation,,Springer International Publishing,book-chapter,,closed,,,,,,,1.0,
10.1007/978-3-319-51804-6_16,,missing,closed,Mobile Devices and Urban Ambiances: How Connected Wearable Tools Change the Ways We Perceive and Design Public Spaces,,,,,,,,2017-01-01,2017.0,Urban Design and Representation,,Springer International Publishing,book-chapter,,closed,,,,,,,3.0,
10.1007/978-3-319-51804-6_6,,missing,oa,Motion Perspectives Integration in the Qualification of the Urban Spaces: Towards a 2D- and a 3D-Enrichment of the S-Partition Method,,,,,,,,2017-01-01,2017.0,Urban Design and Representation,,Springer International Publishing,book-chapter,,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-02771-0_15,,missing,oa,AR City Representation System Based on Map Recognition Using Topological Information,,,,,,,,2009-01-01,2009.0,Virtual and Mixed Reality,"0302-9743,1611-3349",Springer Berlin Heidelberg,book-chapter,0302-9743,green,repository,submittedVersion,,,,,4.0,
10.1007/978-3-642-12326-9_13,,missing,oa,Towards a Spatial Semantics to Analyze the Visual Dynamics of the Pedestrian Mobility in the Urban Fabric,,,,,,,,2010-01-01,2010.0,Geospatial Thinking,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,4.0,
10.1007/978-3-642-14616-9_53,,missing,closed,Urban Spatiotemporal Data Modeling: Application to the Study of Pedestrian Walkways,,,,,,,,2010-01-01,2010.0,"Smart Innovation, Systems and Technologies","2190-3018,2190-3026",Springer Berlin Heidelberg,book-chapter,2190-3018,closed,,,,,,,5.0,
10.1007/978-3-642-19766-6_11,,missing,oa,Measuring Surrounding Space to Assess the Pedestrian Visual Aperture Angle in the Urban Fabric: Toward a Kurtosis-Based Isovist Indicator,,,,,,,,2011-01-01,2011.0,Information Fusion and Geographic Information Systems,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,4.0,
10.1007/978-3-642-19789-5_14,,missing,oa,Towards a “typification” of the Pedestrian Surrounding Space: Analysis of the Isovist Using Digital processing Method,,,,,,,,2011-01-01,2011.0,Advancing Geoinformation Science for a Changing World,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-24574-9_35,,missing,closed,Transforming Conceptual Spatiotemporal Model into Object Model with Semantic Keeping,,,,,,,,2011-01-01,2011.0,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer Berlin Heidelberg,book-chapter,0302-9743,closed,,,,,,,3.0,
10.1007/978-3-642-29063-3_18,,missing,oa,Towards Urban Fabrics Characterization Based on Buildings Footprints,,,,,,,,2012-01-01,2012.0,Bridging the Geographic Information Sciences,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-31833-7_16,,missing,oa,A New Method to Characterize Density Adapted to a Coarse City Model,,,,,,,,2013-12-05,2013.0,Information Fusion and Geographic Information Systems (IF AND GIS 2013),"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-39330-3_57,,missing,oa,Design of a Visual Query Language for Geographic Information System on a Touch Screen,,,,,,,,2013-01-01,2013.0,Lecture Notes in Computer Science,"0302-9743,1611-3349",Springer Berlin Heidelberg,book-chapter,0302-9743,green,repository,submittedVersion,,,,,4.0,
10.1007/s10055-010-0173-7,hal-01521143,in,oa,Camera tracking by online learning of keypoint arrangements using LLAH in augmented reality applications,ART,file,True,2017-05-11 15:58:27,,True,0.info,2010-10-07,2010.0,Virtual Reality,"1359-4338,1434-9957",Springer Science and Business Media LLC,journal-article,1359-4338,green,repository,submittedVersion,,,,,4.0,
10.1007/s10546-004-9241-4,hal-00111637,in,oa,The urban boundary-layer field campaign in marseille (ubl/clu-escompte): set-up and first results,ART,file,True,2021-05-21 21:59:30,http://creativecommons.org/licenses/by/,False,0.phys,2005-02-01,2005.0,Boundary-Layer Meteorology,"0006-8314,1573-1472",Springer Science and Business Media LLC,journal-article,0006-8314,green,repository,submittedVersion,,cc-by,,,35.0,
10.1007/s10546-012-9786-6,,missing,closed,Urban Morphology Influence on Urban Albedo: A Revisit with the Solene Model,,,,,,,,2012-12-20,2012.0,Boundary-Layer Meteorology,"0006-8314,1573-1472",Springer Science and Business Media LLC,journal-article,0006-8314,closed,,,,,,,2.0,
10.1007/s11069-014-1538-0,hal-01121491,in,closed,Seismic vulnerability assessment of urban environments in moderate-to-low seismic hazard regions using association rule learning and support vector machine methods,ART,notice,False,2015-03-01 20:04:17,,True,0.sde,2014-11-30,2014.0,Natural Hazards,"0921-030X,1573-0840",Springer Science and Business Media LLC,journal-article,0921-030X,closed,,,,,,,6.0,
10.1016/0167-6105(93)90349-s,,missing,closed,Numerical and experimental modelling of the three-dimensional turbulent wind flow through an urban square,,,,,,,,1993-08-01,1993.0,Journal of Wind Engineering and Industrial Aerodynamics,0167-6105,Elsevier BV,journal-article,0167-6105,closed,,,,,,,3.0,
10.1016/j.apacoust.2003.11.002,hal-01555290,in,oa,Prediction of the sound field into high-rise building facades due to its balcony ceiling form,ART,file,True,2017-07-03 22:50:10,,True,0.spi,2004-04-01,2004.0,Applied Acoustics,0003-682X,Elsevier BV,journal-article,0003-682X,green,repository,publishedVersion,,,,,2.0,
