doi,halId,hal_coverage,upw_coverage,title,hal_docType,hal_location,hal_openAccess_bool,hal_submittedDate,hal_licence,hal_selfArchiving,hal_domain,published_date,published_year,journal_name,journal_issns,publisher,genre,journal_issn_l,oa_status,upw_location,version,suspicious_journal,licence,journal_is_in_doaj,journal_is_oa,author_count,is_paratext
10.1007/1-84628-048-6_7,hal-01555279,in,oa,Acoustic diffraction patterns from fractal to urban structures: applications to the Sierpinski triangle and to a neoclassical urban facade,COUV,file,True,2017-07-03 22:07:35,,True,"['0.math', '0.spi']",2005,2005.0,Fractals in Engineering,False,Springer-Verlag,book-chapter,,green,repository,submittedVersion,,,,,1.0,
10.1007/978-3-030-76694-8,halshs-03329497,in,closed,Experiential Walks for Urban Design,DOUV,notice,False,2021-08-31 09:09:49,,True,['0.shs'],2021-01-01,2021.0,Springer Tracts in Civil Engineering,"2366-259X,2366-2603",Springer International Publishing,book,2366-2603,closed,,,,,,,3.0,
10.1007/978-3-030-76694-8_12,halshs-03329818,in,closed,Capturing Chromatic Effects in Urban Environment,COUV,notice,False,2021-08-31 12:02:20,,True,['0.shs'],2021-01-01,2021.0,Springer Tracts in Civil Engineering,"2366-259X,2366-2603",Springer International Publishing,book-chapter,2366-2603,closed,,,,,,,3.0,
10.1007/978-3-642-10595-1_5,halshs-01092994,in,closed,TAnaTo2: A Tool to Evaluate the Impact of Natural and Anthropogenic Artefacts with a TIN-Based Model,COUV,notice,False,2014-12-09 21:38:08,,True,['0.shs'],2011-10-27,2011.0,Geospatial Free and Open Source Software in the 21st Century,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,closed,,,,,,,2.0,
10.1007/978-3-642-19789-5_14,hal-01347341,in,oa,Towards a “typification” of the Pedestrian Surrounding Space: Analysis of the Isovist Using Digital processing Method,COUV,file,True,2016-07-25 14:17:19,,True,"['0.info', '0.shs', '0.sde']",2011-01-01,2011.0,Advancing Geoinformation Science for a Changing World,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-29063-3_18,hal-01347299,in,oa,Towards Urban Fabrics Characterization Based on Buildings Footprints,COUV,file,True,2016-07-20 17:13:14,,True,"['0.info', '0.shs', '0.sde']",2012-01-01,2012.0,Bridging the Geographic Information Sciences,"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-642-31833-7_16,hal-01347216,in,oa,A New Method to Characterize Density Adapted to a Coarse City Model,COUV,file,True,2016-07-20 15:55:10,,True,"['0.info', '0.shs', '0.sde']",2013-12-05,2013.0,Information Fusion and Geographic Information Systems (IF AND GIS 2013),"1863-2246,1863-2351",Springer Berlin Heidelberg,book-chapter,1863-2246,green,repository,submittedVersion,,,,,3.0,
10.1007/978-3-658-11492-3_11,hal-02558010,in,closed,Die Bedeutung von Alltagsästhetik im Kontext der Polarisierung und Hybridisierung von Städten,COUV,notice,False,2020-04-29 10:46:48,,True,['0.shs'],2015-11-25,2015.0,Fraktale Metropolen,"2509-3789,2509-3797",Springer Fachmedien Wiesbaden,book-chapter,2509-3797,closed,,,,,,,1.0,
10.1007/978-3-7091-1251-9_6,hal-01501962,in,closed,"Concurrent Geometric, Structural and Environmental Design: Louvre Abu Dhabi",COUV,notice,False,2017-04-04 18:16:27,,True,"['0.info', '0.shs']",2013-01-01,2013.0,Advances in Architectural Geometry 2012,False,Springer Vienna,book-chapter,,closed,,,,,,,6.0,
10.1007/978-94-007-2540-9_2,hal-01347313,in,oa,Environmental impact assessment of urban mobility plan: a methodology including socio-economic consequences,COUV,notice,True,2016-07-20 17:38:40,,True,['0.sde'],2011-12-10,2011.0,Alliance for Global Sustainability Bookseries,1571-4780,Springer Netherlands,book-chapter,1571-4780,green,repository,submittedVersion,,,,,28.0,
10.1108/s1871-317320190000016014,hal-02557981,in,closed,The Effects of Atmospheres,COUV,notice,False,2020-04-29 10:30:17,,True,['0.shs'],2019-11-29,2019.0,"Atmospheric Turn in Culture and Tourism: Place, Design and Process Impacts on Customer Behaviour, Marketing and Branding",1871-3173,Emerald Publishing Limited,book-chapter,1871-3173,closed,,,,,,,1.0,
10.1142/9789812702746_0018,hal-01552973,in,oa,FRACTAL SCATTERING INDICATORS FOR URBAN SOUND DIFFUSION,COUV,file,True,2017-07-03 12:40:02,,True,"['0.math', '0.spi']",2004-03-01,2004.0,Thinking in Patterns,False,WORLD SCIENTIFIC,proceedings-article,,green,repository,submittedVersion,,,,,1.0,
10.1145/3423603.3424057,hal-03258021,in,oa,Machine learning for optimized buildings morphosis,DOUV,file,True,2021-06-11 11:47:31,http://creativecommons.org/licenses/by-nc-nd/,True,"['0.shs', '0.info']",2020-10-15,2020.0,Proceedings of the 2nd International Conference on Digital Tools & Uses Congress,False,ACM,proceedings-article,,green,repository,publishedVersion,,cc-by-nc-nd,,,2.0,
10.4000/ambiances.738,halshs-01958336,in,oa,L’Ambiance et l’histoire de l’architecture : l’expérience et l’imaginaire sensibles de l’environnement construit [coord. dossier N° 2 de Ambiances journal ],DOUV,notice,True,2018-12-17 23:02:52,,True,['0.shs'],2016-11-07,2016.0,Ambiances,2266-839X,OpenEdition,journal-issue,2266-839X,gold,publisher,publishedVersion,,cc-by-nc-nd,True,True,3.0,
10.4000/craup.2546,hal-02474409,in,oa,Architectures des milieux hyper-conditionnés / Architectures of hyper-conditioned environments,DOUV,notice,True,2020-02-11 12:54:52,,True,['0.shs'],2019-11-27,2019.0,"Cahiers de la recherche architecturale, urbaine et paysagère",2606-7498,OpenEdition,journal-issue,2606-7498,gold,publisher,publishedVersion,,cc-by-nc-nd,True,True,2.0,
,hal-00488996,in,,La ville durable au risque de l'histoire.,DOUV,notice,False,2010-06-03 15:44:48,,False,['0.shs'],2006,2006.0,,False,,,,,,,,,,,3.0,
,hal-00785613,in,,La réalité virtuelle,COUV,notice,False,2013-02-06 15:06:33,,True,['0.info'],2001-11,2001.0,,False,,,,,,,,,,,2.0,
,hal-00911154,in,,Morale et politique dans le monument historique,COUV,file,True,2013-11-28 18:31:03,,True,['0.shs'],2013,2013.0,,False,,,,,,,,,,,2.0,
,hal-00923807,in,,Introduction,COUV,file,True,2014-01-04 21:48:31,,True,['0.shs'],2009,2009.0,,False,,,,,,,,,,,2.0,
,hal-00923808,in,,L'écoute-en-action,COUV,file,True,2014-01-04 21:58:03,,True,['0.shs'],2009,2009.0,,False,,,,,,,,,,,1.0,
,hal-00968248,in,,Réalité virtuelle - Concepts et outils,COUV,notice,False,2014-03-31 16:46:30,,True,['0.info'],2014-02-10,2014.0,,False,,,,,,,,,,,3.0,
,hal-00975415,in,,Amiens 2030 - Le quotidien en projets,DOUV,file,True,2017-05-09 12:03:28,,True,['0.shs'],2013-01-01,2013.0,,False,,,,,,,,,,,31.0,
,hal-00993760,in,,"Des jardins pour ménager les bords de route et de voie ferrée. Actes du Séminaire de recherche, Grenoble, 17 décembre 2012",DOUV,file,True,2020-01-30 15:02:00,,False,['0.shs'],2013,2013.0,,False,,,,,,,,,,,3.0,
,hal-00993761,in,,"Matérialités contemporaines = Materiality in its contemporary forms : architecture, perception, fabrication, conception. MC 2012 Symposium, Villefontaine, novembre 2012",DOUV,notice,False,2014-05-20 16:10:13,,False,['0.shs'],2012,2012.0,,False,,,,,,,,,,,2.0,
,hal-00993762,in,,Ce qu'il reste,DOUV,notice,False,2014-05-20 16:10:25,,False,['0.shs'],2006,2006.0,,False,,,,,,,,,,,2.0,
,hal-00993763,in,,"Ambiance(s). Ville, architecture, paysages. [coord. du dossier, N° 113 de Culture et Recherche]",DOUV,file,True,2017-07-08 15:51:12,,True,['0.shs'],2007,2007.0,Culture et recherche,"0765-5991,1950-629",Paris : Ministère de la Culture et de la Communication,,,,,,,,,,2.0,
,hal-00993764,in,,"Marcher en ville : livret audio. Actes sonores du séminaire tenu à l'ENSAG les 3 juillet 2007, 13 novembre 2007 et 15 janvier 2008",DOUV,notice,False,2014-05-20 16:10:46,,True,['0.shs'],2008,2008.0,,False,,,,,,,,,,,1.0,
,hal-00993765,in,,Ambiances urbaines en partage. Pour une écologie sociale de la ville sensible,DOUV,notice,False,2014-05-20 16:11:00,,False,['0.shs'],2013,2013.0,,False,,,,,,,,,,,2.0,
,hal-00993766,in,,Les bruits de la ville,DOUV,notice,False,2016-01-04 14:35:25,,False,['0.shs'],2014-04-12,2014.0,,False,,,,,,,,,,,1.0,
