halId,title
<<<<<<< HEAD
=======
hal-00995448,"[""De l'ambiance héritée à l'ambiance programmée : les leçons d'une expérience""]"
halshs-00390170,"[""De l'ambiance héritée à l'ambiance programmée Les leçons d'une expérience""]"
hal-01213565,"[""Inscription de l'architecture commerciale""]"
hal-00993700,"[""Inscription de l'architecture commerciale""]"
hal-01168250,"[""Natures d'ambiances en bord de routes : collectifs de jardins, dépendances routières et trame verte urbaine""]"
hal-00993694,"[""Natures d'ambiances en bord de routes : collectifs de jardins, dépendances routières et trame verte urbaine""]"
hal-02104069,['Avant propos']
hal-02104068,['Avant propos']
halshs-01972715,"['Ce que nous dit le jeu de ""l’approche globale"" sur les projets et leurs bureaux d’études']"
hal-01698958,['Ce que nous dit le jeu de « l’approche globale » sur les projets et leurs bureaux d’études']
hal-03273519,['Chronique d’une vie dans une cité des années 1930']
hal-03273399,['Chronique d’une vie dans une cité des années 1930']
hal-01404359,['Croiser habitudes et expérimentations pour un diagnostic partagé du paysage sonore']
hal-01890099,['Croiser habitudes et expérimentations pour un diagnostic partagé du paysage sonore']
hal-01972772,"['Discours et pratiques de créativité dans l’ingénierie en aménagement : une injonction du ""projet"" ?']"
hal-02487818,"['Discours et pratiques de créativité dans l’ingénierie en aménagement : une injonction du ""projet"" ?']"
hal-01541123,['EFFECTS OF DIFFUSE REFLECTION BY BUILDING FAÇADES ON THE SOUND PROPAGATION AND SOUNDSCAPES IN URBAN AREAS']
hal-01536204,['EFFECTS OF DIFFUSE REFLECTION BY BUILDING FAÇADES ON THE SOUND PROPAGATION AND SOUNDSCAPES IN URBAN AREAS']
hal-01529292,['Filmographie commentée']
hal-01529300,['Filmographie commentée']
hal-00358740,['GDMS-R: A mixed SQL to manage raster and vector data']
halshs-01093211,['GDMS-R: A mixed SQL to manage raster and vector data']
halshs-03242870,['Introduction']
hal-01879813,['Introduction']
hal-00923807,['Introduction']
hal-02449001,"['Le ""Parlons-En"" comme espace de circulation.']"
halshs-01775326,['Le Parlons-en comme espace de circulation']
hal-01241177,['Marche et environnements urbains contrastés. Perspectives internationales et interdisciplinaires']
hal-01241182,['Marche et environnements urbains contrastés. Perspectives internationales et interdisciplinaires']
halshs-01502339,['Naexus : dispositif immersif mobile pour la valorisation du patrimoine']
hal-02540057,['Naexus : dispositif immersif mobile pour la valorisation du patrimoine']
hal-01879804,['Paradoxes des ambiances souterraines']
hal-01878938,['Paradoxes des ambiances souterraines']
hal-01505444,"['Raison technique et ""phantaisie"" quotidienne']"
hal-01516786,"['Raison technique et ""phantaisie"" quotidienne']"
hal-01789482,['Street listening']
hal-01518096,['Street listening']
halshs-01025074,"['Un outil pour la résilience des paysages sonores ""low-fi"" des centre-villes, application à la qualification multi-sources de la commune de Bruz (35).']"
hal-01545627,"['Un outil pour la résilience des paysages sonores ""low-fi"" des centre-villes, application à la qualification multi-sources de la commune de Bruz (35).']"
halshs-02472366,['Visual urban space assessment from sky shape analysis']
halshs-00576281,['Visual urban space assessment from sky shape analysis']
>>>>>>> dev
